window_start,window_end_excl,bin_idx,n_active_politicians,mean_posts_active,mean_poilievre_active,mean_posts_all_418,mean_poilievre_all_418,total_posts,total_poilievre
2025-04-01,2025-04-15,0,77,23.961038961038962,1.1818181818181819,4.413875598086125,0.21770334928229665,1845,91
2025-04-15,2025-04-29,1,80,25.95,0.8125,4.966507177033493,0.15550239234449761,2076,65
2025-04-29,2025-05-13,2,77,13.428571428571429,0.35064935064935066,2.4736842105263155,0.0645933014354067,1034,27
2025-05-13,2025-05-27,3,76,14.118421052631579,0.34210526315789475,2.566985645933014,0.06220095693779904,1073,26
2025-05-27,2025-06-10,4,77,17.194805194805195,0.15584415584415584,3.1674641148325358,0.028708133971291863,1324,12
2025-06-10,2025-06-24,5,78,15.923076923076923,0.038461538461538464,2.971291866028708,0.007177033492822966,1242,3
2025-06-24,2025-07-08,6,79,15.632911392405063,0.06329113924050633,2.9545454545454546,0.011961722488038277,1235,5
2025-07-08,2025-07-22,7,75,13.533333333333333,0.09333333333333334,2.42822966507177,0.01674641148325359,1015,7
2025-07-22,2025-08-05,8,76,13.513157894736842,0.02631578947368421,2.4569377990430623,0.004784688995215311,1027,2
2025-08-05,2025-08-19,9,76,15.828947368421053,0.25,2.8779904306220097,0.045454545454545456,1203,19
2025-08-19,2025-09-02,10,77,15.662337662337663,0.5844155844155844,2.8851674641148324,0.10765550239234449,1206,45
2025-09-02,2025-09-16,11,76,15.657894736842104,0.23684210526315788,2.84688995215311,0.043062200956937795,1190,18
2025-09-16,2025-09-30,12,80,17.975,0.0625,3.4401913875598087,0.011961722488038277,1438,5
2025-09-30,2025-10-14,13,81,16.580246913580247,0.18518518518518517,3.212918660287081,0.03588516746411483,1343,15
2025-10-14,2025-10-28,14,80,17.525,0.1875,3.354066985645933,0.03588516746411483,1402,15
2025-10-28,2025-11-11,15,81,18.34567901234568,0.30864197530864196,3.555023923444976,0.05980861244019139,1486,25
2025-11-11,2025-11-25,16,81,16.77777777777778,0.13580246913580246,3.251196172248804,0.02631578947368421,1359,11
2025-11-25,2025-12-09,17,78,17.705128205128204,0.11538461538461539,3.303827751196172,0.021531100478468897,1381,9
2025-12-09,2025-12-23,18,79,14.329113924050633,0.08860759493670886,2.7081339712918657,0.01674641148325359,1132,7
2025-12-23,2026-01-06,19,76,6.7631578947368425,0.039473684210526314,1.2296650717703348,0.007177033492822966,514,3
2026-01-06,2026-01-20,20,75,11.733333333333333,0.12,2.1052631578947367,0.021531100478468897,880,9
2026-01-20,2026-02-03,21,78,17.025641025641026,0.6666666666666666,3.177033492822966,0.12440191387559808,1328,52
2026-02-03,2026-02-17,22,79,17.088607594936708,0.20253164556962025,3.229665071770335,0.03827751196172249,1350,16
2026-02-17,2026-03-03,23,81,17.864197530864196,0.2222222222222222,3.4617224880382773,0.043062200956937795,1447,18
2026-03-03,2026-03-17,24,80,17.5,0.2375,3.3492822966507174,0.045454545454545456,1400,19
2026-03-17,2026-03-31,25,78,19.205128205128204,0.21794871794871795,3.5837320574162677,0.04066985645933014,1498,17
2026-03-31,2026-04-14,26,80,15.6,0.3625,2.985645933014354,0.06937799043062201,1248,29
2026-04-14,2026-04-28,27,83,15.831325301204819,0.1686746987951807,3.1435406698564594,0.03349282296650718,1314,14
2026-04-28,2026-05-12,28,59,2.3220338983050848,0.01694915254237288,0.3277511961722488,0.0023923444976076554,137,1
